C:\SimulationData\IMG\center_2024_03_23_11_47_08_003.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_003.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_003.jpg,0,0,0,1.108347E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_074.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_074.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_074.jpg,0,0,0,2.495006E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_144.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_144.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_144.jpg,0,0,0,1.503556E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_225.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_225.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_225.jpg,0,0,0,1.2113E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_300.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_300.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_300.jpg,0,0,0,1.016654E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_379.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_379.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_379.jpg,0,0,0,1.745343E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_08_457.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_457.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_457.jpg,0,0,0,8.94358E-07
C:\SimulationData\IMG\center_2024_03_23_11_47_08_531.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_531.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_531.jpg,0,0,0,4.265187E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_08_619.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_619.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_619.jpg,0,0,0,1.019261E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_696.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_696.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_696.jpg,0,0,0,6.990751E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_08_767.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_767.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_767.jpg,0,0,0,2.029578E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_08_847.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_847.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_847.jpg,0,0,0,4.040431E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_08_922.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_08_922.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_08_922.jpg,0,0,0,7.553898E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_09_001.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_09_001.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_09_001.jpg,0,0,0,5.991636E-06
C:\SimulationData\IMG\center_2024_03_23_11_47_09_074.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_09_074.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_09_074.jpg,0,0,0,2.195227E-05
C:\SimulationData\IMG\center_2024_03_23_11_47_09_151.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_09_151.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_09_151.jpg,0,0,0,4.946509E-07
C:\SimulationData\IMG\center_2024_03_23_11_47_09_225.jpg,C:\SimulationData\IMG\left_2024_03_23_11_47_09_225.jpg,C:\SimulationData\IMG\right_2024_03_23_11_47_09_225.jpg,0,0,0,1.025284E-05
